Level,Theme,Tagline,Core Message,Purpose,Best Placement,Tone,Usage Notes
Campaign,Punchy/Social,"Your wallet deserves a dashboard.","Visual clarity.","Engagement","Social Media, Ad Headlines","Playful & Visual","Use for fun, image-driven social posts."
Campaign,Punchy/Social,"Clarity > Budgeting.","Clarity wins.","Social Motto","X/Twitter, Graphics, Merch","Minimal & Modern","Use for slogans, visuals, or shareable content."
Campaign,Punchy/Social,"We make your money make sense.","Simple explanation.","Mass Appeal","Homepage, Ads","Friendly & Approachable","Use for broad awareness campaigns."
Campaign,Punchy/Social,"Reports. Not reminders.","Simplicity.","Feature Highlight","App UI, Email Headers","Short & Assertive","Use in product copy and empty states."
Campaign,Punchy/Social,"Numbers don’t lie. Neither do our reports.","Accuracy & trust.","Proof Statement","Testimonials, Ads","Witty & Confident","Use in credibility or proof-based messaging."
Campaign,Punchy/Social,"The clarity app your accountant wishes you had.","Humour + authority.","Relatability","Social Media, Influencer Content","Playful & Clever","Use for engagement or influencer cross-posts."
Campaign,Bold Repositioning,"Your spreadsheet just got promoted.","Upgrade from manual to automated.","Brand Evolution","LinkedIn, Ads","Playful & Aspirational","Use when highlighting automation benefits."
Campaign,Modern/Rebellious,"It’s not a finance app. It’s an advantage.","Tool as leverage.","Differentiation","Homepage, Press Mentions","Strategic & Elevated","Use for thought leadership or positioning."

Master,Original,"This is for you if you know what CFO stands for.","Exclusive tone.","Audience Targeting","Landing Pages, Ads, Email Headers","Aspirational & Exclusive","Use to attract ambitious, financially literate users."
Master,Modern/Rebellious,"The future of money management looks nothing like your bank.","Future-forward vision.","Category Creation","Homepage Hero, PR Pieces","Innovative & Disruptive","Use for media, PR, or campaign introductions."
Master,Professional/CFO-Tone,"Run your money like a business.","Financial discipline.","Mindset Positioning","Homepage, Advisor Outreach","Ambitious & Serious","Use for B2B or advisor partner positioning."
